fast food,menu,food,indoor,text,snack,store,restaurant,shop,display,C81103,Red,Brown
indoor,ceiling,table,text,restaurant,chair,floor,kitchen & dining room table,cafe,desk,B64B0F,Grey,Brown
indoor,text,fast food,wall,floor,menu,food,store,ceiling,shelf,A1702A,Grey,White
clothing,person,jeans,floor,indoor,footwear,man,trousers,text,standing,435E88,Black,White
text,indoor,bottle,person,soft drink,computer,clothing,man,laptop,drink,2ABE0D,Black,Brown
fast food,indoor,ceiling,text,food,menu,restaurant,person,store,clothing,BD1A0E,Black,Red
indoor,ceiling,wall,person,chair,furniture,table,clothing,text,fast food,B516A2,Brown,Black
furniture,table,indoor,kitchen & dining room table,floor,coffee table,room,chair,cafe,dining,9F5A2C,Brown,Brown
table,furniture,chair,text,person,fast food,wooden,menu,kitchen & dining room table,clothing,2C4465,White,Grey
text,furniture,design,indoor,floor,table,interior,cabinetry,sink,coffee table,B89313,Grey,Yellow
indoor,ceiling,table,furniture,person,text,fast food,chair,clothing,yellow,B99C12,Black,Yellow
indoor,ceiling,text,restaurant,menu,fast food,cafe,table,person,furniture,BB3910,White,White
person,text,clothing,indoor,fast food,people,ceiling,restaurant,woman,group,B9B012,Brown,Brown
furniture,indoor,ceiling,table,floor,chair,fast food,kitchen & dining room table,menu,person,80684B,Grey,Grey
text,floor,indoor,menu,table,furniture,chair,person,restaurant,cafe,947437,Grey,Grey
indoor,floor,table,room,design,ceiling,interior,cabinetry,desk,countertop,9C622F,Brown,Brown
text,floor,indoor,store,food,convenience store,shop,menu,fast food,shelf,C1990A,Brown,Brown
indoor,person,wall,ceiling,clothing,floor,table,woman,scene,room,C48B07,Brown,Brown
chair,indoor,floor,table,kitchen & dining room table,coffee table,room,desk,dining,stool,C60D05,Brown,Brown
furniture,chair,indoor,kitchen & dining room table,floor,restaurant,coffee table,interior,dining,cafe,C08A0B,Brown,Brown
fast food,text,menu,table,chair,furniture,person,indoor,kitchen & dining room table,clothing,B32818,Black,White
menu,indoor,fast food,ceiling,text,restaurant,furniture,chair,interior,table,9A6331,Brown,Grey
fast food,text,person,indoor,clothing,table,food,furniture,menu,scene,A73024,Black,Brown
furniture,table,chair,kitchen & dining room table,cafe,indoor,menu,bar,food,fast food,9D742E,Brown,Grey
text,chair,furniture,outdoor,fast food,table,menu,restaurant,person,kitchen & dining room table,C79E04,Grey,Black
furniture,table,chair,indoor,kitchen & dining room table,floor,restaurant,cafe,coffee table,interior,3D697A,Grey,Grey
text,indoor,furniture,ceiling,chair,table,restaurant,menu,kitchen & dining room table,fast food,B4B017,Brown,Grey
floor,indoor,ceiling,table,text,chair,kitchen & dining room table,room,desk,fast food,B54916,Grey,Brown
indoor,table,chair,wall,ceiling,kitchen & dining room table,room,text,desk,coffee table,A73124,White,White
menu,text,indoor,restaurant,fast food,shop,store,bar,food,table,AE2C1D,Black,Black
table,fast food,food,person,indoor,plate,restaurant,coffee cup,tableware,cooking,8E763D,Grey,White
person,fast food,ceiling,indoor,clothing,food,menu,man,standing,text,B99C12,Black,Black
text,furniture,fast food,indoor,table,chair,floor,menu,kitchen & dining room table,scene,BDA30E,Brown,Red
text,store,fast food,menu,indoor,restaurant,sign,supermarket,person,mall,BE1E0D,Brown,Brown
text,indoor,convenience store,store,food,fast food,shelf,retail,menu,snack,AA222F,Red,Grey
text,indoor,store,fast food,menu,convenience store,shop,food,display,shelf,B72214,Grey,White
indoor,furniture,restaurant,table,floor,bar,yellow,chair,menu,text,BA9E11,Yellow,Black
text,table,furniture,chair,indoor,person,fast food,clothing,ceiling,kitchen & dining room table,A32829,Grey,Brown
indoor,chair,floor,ceiling,table,fast food,room,menu,kitchen & dining room table,restaurant,BB101A,Black,Grey
table,indoor,floor,kitchen & dining room table,chair,menu,cafe,room,desk,text,AF6B1C,Red,Brown
ceiling,furniture,chair,indoor,fast food,kitchen & dining room table,menu,text,restaurant,cafe,B32518,Brown,Brown
fast food,ceiling,indoor,text,menu,furniture,table,food,chair,person,B19D1A,Brown,White
indoor,floor,fast food,kitchen,text,food,menu,ceiling,person,restaurant,624428,Black,Black
text,fast food,person,clothing,food,menu,people,scene,woman,footwear,1E3E71,Brown,Grey
