person,fast food,indoor,food,clothing,menu,standing,ceiling,man,text,AC2A1F,Black,Black
floor,table,indoor,wall,cabinetry,desk,kitchen & dining room table,chair,coffee table,ceiling,B38018,White,Brown
indoor,floor,text,person,ceiling,clothing,room,stairs,suit,exhibition,BE260D,Brown,Brown
floor,table,indoor,kitchen & dining room table,desk,coffee table,ceiling,chair,room,restaurant,794526,Brown,Brown
floor,indoor,kitchen & dining room table,table,wall,house,room,coffee table,ceiling,vase,C28609,Brown,Brown
table,furniture,indoor,person,chair,floor,clothing,ceiling,scene,people,9A6731,Brown,Brown
ceiling,person,indoor,clothing,fast food,woman,text,footwear,people,scene,A62925,Brown,White
table,soft drink,cup,food,indoor,fast food,cocktail,beer,juice,fries,C83B03,Yellow,Yellow
ceiling,indoor,person,clothing,floor,fast food,man,footwear,food,standing,C43707,Brown,White
text,floor,fast food,indoor,store,shop,menu,restaurant,convenience store,food,BA4611,Grey,Brown
table,indoor,kitchen & dining room table,chair,ceiling,floor,text,menu,coffee table,dining,C24009,Brown,Brown
text,building,person,clothing,woman,people,store,man,street,jeans,C2B309,Black,Black
